Timestamp, Schematic, Workspace, Bitblox #, FGU #, Connection #, Uniqueness clauses, Uniqueness time, Collision clauses, Collision time, Short clauses, Short time, Connection clauses, Connection time, Fixed Bitblox, MemError, SAT time, SAT,
22:21 02-02, Remote-6, 10-10-2, 19, 192, 18, 6072400, 6.51799988747, 2777472, 18.8010001183, 3558720, 25.1949999332, 235410, 1.13199996948, 0, 0, 141.542000055, 1, 
22:26 02-02, Remote-5, 10-10-2, 16, 168, 15, 5113600, 5.46700000763, 1983360, 12.4890015125, 2482400, 16.1659986973, 196175, 0.993999958038, 0, 0, 3.0680000782, 1, 
22:27 02-02, Remote-4, 10-10-2, 13, 144, 12, 4154800, 4.82800006866, 1321728, 9.03400111198, 1599360, 11.5949988365, 156940, 0.761000156403, 0, 0, 53.8359999657, 1, 
22:29 02-02, Remote-3, 10-10-2, 10, 120, 9, 3196000, 3.39400005341, 792576, 6.04699993134, 909600, 7.55099987984, 117705, 0.573999881744, 0, 0, 12.3739998341, 1, 
22:34 02-02, Remote-4, 10-10-2, 13, 144, 12, 4154800, 4.71000003815, 1321728, 8.87200117111, 1599360, 11.3879988194, 156940, 0.75200009346, 0, 0, 45.756000042, 1, 
22:36 02-02, Remote-2, 10-10-2, 7, 96, 6, 2237200, 2.48199987411, 395904, 2.72599983215, 413120, 3.02500033379, 78470, 0.375999927521, 0, 0, 34.0569999218, 1,
22:47 02-02, Filter-1, 3-4-2, 2, 16, 1, 9120, 0.00600004196167, 1472, 0.0209999084473, 1680, 0.0239999294281, 1121, 0.00800013542175, 0, 0, 0.00999999046326, 1, 
22:47 02-02, Filter-2, 5-4-2, 6, 48, 6, 76320, 0.0649998188019, 39360, 0.411000967026, 43680, 0.467999219894, 16966, 0.100999832153, 0, 0, 
22:49 02-02, Filter-1, 3-4-2, 2, 16, 1, 9120, 0.00500011444092, 1472, 0.0209999084473, 1680, 0.0250000953674, 1121, 0.0090000629425, 0, 0, 0.00999999046326, 1, 
22:49 02-02, Filter-1, 3-4-2, 2, 16, 1, 9120, 0.00600004196167, 1472, 0.0209999084473, 1680, 0.0250000953674, 1121, 0.0090000629425, 0, 0, 0.00999999046326, 1, 
22:50 02-02, Filter-2, 5-4-2, 7, 56, 7, 89040, 0.0680000782013, 55104, 0.543000221252, 59696, 0.689999818802, 21543, 0.177000045776, 0, 0, 
22:55 02-02, Filter-2, 4-4-2, 8, 64, 8, 65024, 0.0569999217987, 57344, 0.668000221252, 60928, 0.767999887466, 21512, 0.147000074387, 0, 0, 0.194000005722, 1, 
22:55 02-02, Filter-1, 2-4-2, 3, 24, 2, 6048, 0.00400018692017, 2688, 0.0549998283386, 2784, 0.0620000362396, 1858, 0.0210001468658, 0, 0, 0.010999917984, 1, 
22:56 02-02, Filter-3, 6-4-2, 13, 104, 14, 238368, 0.231999874115, 249600, 2.1829996109, 274656, 2.69400048256, 60494, 0.331000089645, 0, 0, 
22:57 02-02, Filter-2, 4-4-2, 8, 64, 8, 65024, 0.0569999217987, 57344, 0.649000883102, 60928, 0.757999181747, 21512, 0.150000095367, 0, 0, 0.194000005722, 1, 
